subject;condition;congruency;RT
3;vibro;normal;0.024
3;vibro;normal;0.07
3;vibro;normal;0
3;vibro;conflict;0.166
3;vibro;normal;0.078
3;vibro;conflict;0.226
3;vibro;normal;0.018
3;vibro;normal;0.088
3;vibro;conflict;0.202
3;vibro;normal;0.026
3;vibro;normal;0
3;vibro;normal;0.064
3;vibro;normal;0.066
3;vibro;conflict;0.18
3;vibro;normal;0.004
3;vibro;normal;0.062
3;vibro;normal;0.01
3;vibro;normal;0.024
3;vibro;normal;0.026
3;vibro;conflict;0.254
3;visual;normal;0.088
3;visual;conflict;0.216
3;visual;normal;0.16
3;visual;normal;0.074
3;visual;normal;0.176
3;visual;normal;0.102
3;visual;conflict;0.248
3;visual;normal;0.038
3;visual;normal;0.086
3;visual;normal;0.054
3;visual;conflict;0.19
3;visual;normal;0.082
3;visual;normal;0.04
3;visual;normal;0.064
3;visual;normal;0.064
3;visual;normal;0.08
3;visual;conflict;0.214
3;visual;normal;0.084
3;visual;normal;0.074
3;visual;conflict;0.222
3;visual;normal;0.046
3;visual;conflict;0.226
3;visual;normal;0.06
3;visual;normal;0.074
3;visual;normal;0.076
3;visual;normal;0.08
3;visual;conflict;0.138
3;visual;normal;0.096
3;visual;normal;0.12
3;visual;normal;0.076
3;visual;conflict;0.146
3;visual;normal;0.058
3;visual;normal;0.06
3;visual;normal;0.028
3;visual;normal;0.044
3;visual;normal;0.056
3;visual;conflict;0.17
3;visual;normal;0.066
3;visual;normal;0.084
3;visual;conflict;0.188
3;visual;normal;0.034
3;visual;conflict;0.18
3;visual;normal;0.05
3;visual;normal;0.032
3;visual;normal;0.054
3;visual;normal;0.068
3;visual;conflict;0.192
3;visual;normal;0.062
3;visual;normal;0.018
3;visual;normal;0.056
3;visual;conflict;0.168
3;visual;normal;0.026
3;visual;normal;0.082
3;visual;normal;0.04
3;visual;normal;0.02
3;visual;normal;0.022
3;visual;conflict;0.17
3;visual;normal;0.026
3;visual;normal;0
3;visual;conflict;0.098
3;visual;normal;0.056
3;visual;conflict;0.136
3;visual;normal;0.016
3;visual;normal;0.064
3;visual;normal;0.042
3;visual;normal;0.022
3;visual;conflict;0.17
3;visual;normal;0.016
3;visual;normal;0.04
3;visual;normal;0.032
3;visual;conflict;0.188
3;visual;normal;0.024
3;visual;normal;0.048
3;visual;normal;0.376
3;visual;normal;0
3;visual;normal;0.01
3;visual;conflict;0.148
3;visual;normal;0.038
3;visual;normal;0.018
3;visual;conflict;0.154
3;visual;normal;0.042
3;visual;conflict;0.146
3;visual;normal;0.036
3;visual;normal;0.064
3;visual;normal;0.03
3;visual;normal;0.066
3;visual;conflict;0.226
3;visual;normal;0.026
3;visual;normal;0.008
3;visual;normal;0.054
3;visual;conflict;0.146
3;visual;normal;0.08
3;visual;normal;0.004
3;visual;normal;0.062
3;visual;normal;0.076
3;visual;normal;0.056
3;visual;conflict;0.146
3;visual;normal;0.07
3;visual;normal;0.04
3;visual;conflict;0.152
3;visual;normal;0.05
3;visual;conflict;0.186
3;visual;normal;0.088
3;visual;normal;0.09
3;visual;normal;0.092
3;visual;normal;0.104
3;visual;conflict;0.24
3;visual;normal;0.098
3;visual;normal;0.1
3;visual;normal;0.092
3;visual;conflict;0.238
3;visual;normal;0.128
3;visual;normal;0.1
3;visual;normal;0.068
3;visual;normal;0.114
3;visual;normal;0.016
3;visual;conflict;0.22
3;visual;normal;0.086
3;visual;normal;0.102
3;visual;conflict;0.236
3;visual;normal;0.106
3;visual;conflict;0.216
3;visual;normal;0.108
3;visual;normal;0.132
3;visual;normal;0.136
3;visual;normal;0.16
3;visual;conflict;0.242
3;visual;normal;0.12
3;visual;normal;0.156
3;visual;normal;0.126
3;visual;conflict;0.228
3;visual;normal;0.186
3;visual;normal;0.222
3;visual;normal;0.112
3;visual;normal;0.148
3;visual;normal;0.116
3;visual;conflict;0.296
